# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) ANODE(0-63)
5 1 1 5 1 0
5 1 1 6 1 12
5 1 1 7 1 11
5 1 2 0 1 26
5 1 2 1 1 0
5 1 2 2 1 25
5 1 2 3 1 0
5 1 2 4 1 18
5 1 2 5 1 0
5 1 2 6 1 17
5 1 2 7 1 0
5 1 3 0 1 0
5 1 3 1 1 20
5 1 3 2 1 0
5 1 3 3 1 19
5 1 3 4 1 0
5 1 3 5 1 28
5 1 3 6 1 0
5 1 3 7 1 27
5 1 4 0 1 0
5 1 4 1 1 41
5 1 4 2 1 0
5 1 4 3 1 42
5 1 4 4 1 0
5 1 4 5 1 33
5 1 4 6 1 0
5 1 4 7 1 34
5 1 5 0 1 35
5 1 5 1 1 0
5 1 5 2 1 36
5 1 5 3 1 0
5 1 5 4 1 43
5 1 5 5 1 0
5 1 5 6 1 44
5 1 5 7 1 0
5 1 6 0 1 57
5 1 6 1 1 0
5 1 6 2 1 58
5 1 6 3 1 0
5 1 6 4 1 0
5 1 6 5 1 0
5 1 6 6 1 49
5 1 6 7 1 50
5 1 7 0 1 51
5 1 7 1 1 52
5 1 7 2 1 0
5 1 7 3 1 0
5 1 7 4 1 0
5 1 7 5 1 59
5 1 7 6 1 0
5 1 7 7 1 60
